Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Ectatomminae,Ectatomma,ANT-1327,2.05,1.75,0.5,1.55,3.45,2.25,3.75,1.48,1.35,0.6,11.85,2,18,0,1,1,1
Ectatomminae,Ectatomma,ANT-527,2.15,2.4,0.5,1.4,3.5,2.4,4.13,1.67,1.45,0.6,13.67,2,13,0,1,1,1
Ectatomminae,Ectatomma,ANT-546,2.25,2,0.5,1.75,3.67,2.4,4,1.75,1.5,0.65,13.1,2,21,0,1,1,1
Ectatomminae,Ectatomma,ANT-050,2.05,1.98,0.63,1.48,2.8,1.95,3.33,1.6,1.48,0.55,9.52,3,57,4,22,22,22
Ectatomminae,Ectatomma,ANT-085,1.73,1.58,0.5,1.25,2.48,1.73,2.73,1.3,1.2,0.48,7.68,3,46,4,23,23,23
Ectatomminae,Ectatomma,ANT-154,1.8,1.7,0.55,1.35,2.51,1.8,2.87,1.33,1.28,0.5,8.76,3,51,4,22,22,22
Ectatomminae,Ectatomma,ANT-265,1.85,1.75,0.55,1.3,2.49,1.78,2.93,1.43,1.3,0.5,7.88,3,50,4,23,23,23
Ectatomminae,Ectatomma,ANT-269,1.92,1.72,0.56,1.32,2.72,1.83,3.25,1.4,1.4,0.48,10.3,2,26,0,1,1,24
Ectatomminae,Ectatomma,ANT-292,1.87,1.77,0.43,1.27,2.8,1.37,3.1,1.45,1.27,0.44,10.7,2,44,0,1,1,24
Ectatomminae,Ectatomma,ANT-295,1.97,1.6,0.4,1.47,2.75,1.87,3.27,1.55,1.33,0.5,13,2,35,0,1,1,1
Ectatomminae,Gnamptogenys,ANT-285,1.27,1.2,0.4,0.78,1.42,0.96,1.93,0.96,1.02,0.4,6.24,3,57,0,1,1,24
Ectatomminae,Gnamptogenys,ANT-702,0.84,0.89,0.24,0.47,1.22,0.87,1.29,0.6,0.67,0.18,4.13,3,31,0,1,1,1
Ectatomminae,Gnamptogenys,ANT-279,0.98,1,0.27,0.51,1,0.69,1.51,0.76,0.76,0.2,5.04,3,70,0,1,24,24
Ectatomminae,Gnamptogenys,ANT-1292,1.16,1.07,0.36,0.69,1.62,1.2,1.89,0.76,0.91,0.22,5.98,3,78,0,1,1,1
Myrmicinae,Hylomyrma,ANT-699,1,0.93,0.24,0.6,0.98,0.76,1.22,0.62,0.84,0.16,4.31,2,165,2,22,21,8
Myrmicinae,Hylomyrma,ANT-1377,0.93,0.84,0.24,0.6,0.87,0.56,1.11,0.58,0.71,0.18,4.07,2.5,60,4,1,1,24
Myrmicinae,Hylomyrma,ANT-1648,0.49,0.82,0.38,0.56,0.84,0.56,1.13,0.56,0.76,0.13,4,2.5,114,4,22,22,21
Ponerinae,Hypoponera,ANT-221,0.53,0.69,0.18,0.29,0.58,0.31,0.82,0.4,0.4,0.02,2.53,1,198,0,1,1,1
Ponerinae,Hypoponera,ANT-1615,0.36,0.47,0.18,0.2,0.31,0.33,0.58,0.27,0.31,0.02,1.93,1,168,0,21,20,21
Ponerinae,Hypoponera,ANT-1255,0.67,0.73,0.16,0.38,0.73,0.58,1.11,0.51,0.6,0.04,3.73,2,270,0,1,1,1
Ponerinae,Hypoponera,ANT-305,0.69,0.69,0.16,0.4,0.73,0.53,1.09,0.44,0.36,0.07,3.38,1,195,0,1,1,24
Ponerinae,Hypoponera,ANT-1692,0.51,0.51,0.13,0.33,0.47,0.44,0.82,0.4,0.36,0.07,2.69,2,98,0,24,22,22
Ponerinae,Hypoponera,ANT-932,0.36,0.36,0.09,0.2,0.2,0.22,0.56,0.24,0.33,0.02,1.8,1,95,0,20,20,20
Ponerinae,Hypoponera,ANT-124,0.51,0.58,0.11,0.27,0.42,0.44,0.64,0.31,0.47,0.02,2.53,1,85,0,24,24,24
Dorylinae,Labidus,ANT-903,0.93,1.04,0.09,0.58,1.2,0.73,1.4,0.62,0.51,0.04,3.96,2,42,0,22,21,17
Myrmicinae,Lachnomyrmex,ANT-179,0.62,0.62,0.18,0.24,0.47,0.38,0.67,0.4,0.49,0.09,2.62,2.5,41,2,24,22,21
Myrmicinae,Lenomyrmex,ANT-191,0.82,0.76,0.51,0.49,0.84,0.62,1.22,0.64,0.67,0.16,4.38,1.5,0,3,1,1,24
Myrmicinae,Lenomyrmex,ANT-212,0.58,0.62,0.11,0.36,0.51,0.4,0.82,0.4,0.44,0.13,2.8,2,24,2,1,24,1
Ponerinae,Leptogenys,ANT-1323,1,1.2,0.33,0.8,1.66,1.33,2.26,0.83,0.67,0.29,7.26,1,112,1,21,22,20
Ponerinae,Leptogenys,ANT-935,0.56,0.42,0.2,0.36,0.93,0.71,1.24,0.47,0.49,0.11,4.53,1,93,0,1,1,1
Ponerinae,Mayaponera,ANT-1193,1.23,1.31,0.34,1,1.97,1.57,2.51,0.91,0.94,0.26,7.37,2,66,0,1,1,24
Myrmicinae,Megalomyrmex,ANT-1631,1.13,1.07,0.44,0.76,2.1,1.82,2,0.84,0.82,0.33,6.87,1,47,0,20,17,20
Myrmicinae,Megalomyrmex,ANT-1329,0.73,0.8,0.18,0.42,0.84,0.69,0.98,0.49,0.64,0.11,3.73,1,85,0,17,17,17
Myrmicinae,Megalomyrmex,ANT-426,0.76,0.8,0.2,0.4,0.8,0.73,1.07,0.49,0.64,0.09,3.82,1,76,0,17,17,20
Myrmicinae,Megalomyrmex,ANT-742,0.69,0.71,0.18,0.36,0.78,0.82,1,0.44,0.6,0.09,3.4,1,63,0,17,17,8
Myrmicinae,Megalomyrmex,ANT-1211,0.67,0.67,0.18,0.4,1.04,0.91,1.18,0.51,0.44,0.18,4.24,1,18,0,24,24,24
Myrmicinae,Megalomyrmex,ANT-1246,0.64,0.73,0.16,0.44,1.04,0.87,1.22,0.53,0.47,0.18,4.04,1,17,0,24,22,22
Myrmicinae,Myrmicocrypta,ANT-554,0.67,0.6,0.18,0.44,0.82,0.58,0.87,0.4,0.58,0.04,2.89,2,0,6,17,17,17
Myrmicinae,Myrmicocrypta,ANT-208,0.76,0.71,0.22,0.4,0.84,0.71,1,0.47,0.67,0.07,3.4,2,12,7,1,22,22
Myrmicinae,Myrmicocrypta,ANT-806,0.64,0.84,0.16,0.4,0.67,0.56,0.76,0.4,0.49,0.11,2.73,3,32,6,24,22,24
Myrmicinae,Myrmicocrypta,ANT-913,0.69,0.71,0.13,0.47,0.73,0.49,0.89,0.42,0.6,0.07,3.16,3,19,8,23,23,8
Myrmicinae,Neoponera,ANT-1192,1.8,1.77,0.57,1.2,2,1.77,3.03,0.97,1.27,0.5,7.23,2,165,0,1,1,1
Ponerinae,Neoponera,ANT-266,2.13,2.2,1,1.7,3.2,2.51,3.52,1.53,1.23,0.85,11.58,1,0,0,1,1,1
Ponerinae,Neoponera,ANT-281,1.95,1.95,0.6,1.65,3.1,2.25,3.5,1.4,1.15,0.75,10.9,2,0,0,1,1,1
Myrmicinae,Pogonomyrmex,ANT-205,1.6,1.67,0.67,1,2.27,1.4,2.07,1.03,1.27,0.2,7.53,2.5,95,2,1,1,22
Formicinae,Nylanderia,ANT-1029,0.44,0.51,0.16,0.27,0.62,0.44,0.56,0.31,0.4,0.09,1.84,1,25,0,8,17,8
Formicinae,Nylanderia,ANT-1044,0.51,0.51,0.18,0.31,0.84,0.76,0.78,0.36,0.36,0.11,2.49,1,20,0,1,1,1
Formicinae,Nylanderia,ANT-1125,0.62,0.76,0.18,0.29,1.11,1.07,1.02,0.47,0.44,0.16,3.16,1,20,0,17,17,20
Formicinae,Nylanderia,ANT-1290,0.58,0.6,0.22,0.31,0.87,0.87,1,0.44,0.4,0.13,2.8,1,29,0,21,17,21
Formicinae,Nylanderia,ANT-1361,0.44,0.47,0.16,0.29,0.64,0.64,0.67,0.29,0.31,0.11,1.78,1,8,0,17,17,8
Formicinae,Nylanderia,ANT-1415,0.4,0.24,0.18,0.27,0.24,0.47,0.31,0.29,0.33,0.09,1.56,1,10,0,17,17,8
Formicinae,Nylanderia,ANT-1487,0.44,0.53,0.16,0.27,0.53,0.53,0.89,0.33,0.33,0.11,1.93,1,11,0,17,17,8
Formicinae,Nylanderia,ANT-1498,0.47,0.49,0.2,0.29,0.56,0.49,0.82,0.36,0.33,0.11,2,1,15,0,17,17,17
